sentence,lang,ARG0,ARG1,ARG2,neg,time
is it better to invest or save,en-US,0,1,1,0,0
who is lenin,en-US,0,0,0,0,0
who assassinated lincoln,en-US,1,1,0,0,0
can you really see russia from alaska,en-US,1,1,0,1,0
person name,en-US,0,1,1,0,0
what is the us dollar to euro exchange rate,en-US,0,1,1,0,0
how much of the earth is made up of water,en-US,1,1,0,0,0
synonyms,en-US,0,0,0,0,0
what is a stock price of tata,en-US,0,1,1,0,0
what is two plus four,en-US,0,1,1,0,0
how old is trump,en-US,0,0,0,0,0
how are stocks for google,en-US,0,0,0,0,0
tell me everything about albert einstein,en-US,1,1,1,0,0
what is the biggest city in the world,en-US,0,1,1,0,0
where was the last aerosmith concert,en-US,0,1,1,0,0
is eddie murphy still alive,en-US,1,0,0,1,0
what is two hundred divided by ten,en-US,0,1,1,0,0
what are the longest rivers in the world,en-US,0,1,1,0,0
what is trump's approval rating,en-US,0,1,1,0,0
for how much can we exchange us dollar for indian rupee,en-US,0,1,1,0,0
how tall is frank goggins,en-US,0,1,1,0,0
how is jennifer garner's career doing,en-US,0,1,1,0,0
how many euros for one u. s. d.,en-US,0,1,1,0,0
what is the capital of denmark,en-US,1,1,1,0,0
for what is famous ellen degeneres,en-US,0,1,1,0,0
geography melbourne,en-US,0,0,0,0,0
who is arnold schwarzenegger,en-US,0,0,0,0,0
where was bill clinton born,en-US,0,1,0,0,0
what does a basketball feel like,en-US,0,1,1,0,0
how many miles is it between illinois and louisiana,en-US,0,1,1,0,0
i want to know the result of twenty is to two,en-US,1,1,1,0,0
what is the square root of thirty four,en-US,0,1,1,0,0
how tall is mel gibson,en-US,0,1,1,0,0
what is the capital of nigeria,en-US,1,1,1,0,0
where are the rocky mountains located,en-US,0,1,1,0,0
can you do nine plus two,en-US,0,1,1,0,0
tell me the exchange rate for the yen,en-US,1,1,1,0,0
how much is one plus one,en-US,0,1,1,0,0
what are the tallest mountains in america,en-US,0,1,1,0,0
stock price,en-US,0,1,1,0,0
what is the current stock price of samsung,en-US,0,1,1,0,1
what is the height of monali thakur,en-US,0,1,0,0,0
why is the sky blue,en-US,1,1,0,0,0
compare the stock prices for nintendo and sony and tell me which ones are better,en-US,0,1,1,0,0
what is the current share value for m. s. n. b. c.,en-US,0,1,1,0,1
what price google up to,en-US,0,1,1,0,0
where does sophia vergara live,en-US,1,0,0,0,0
find exchange rate for u. s. d. to euro,en-US,1,1,1,0,0
what is the most current exchange rate in china,en-US,0,1,1,0,0
tell me when obama was born,en-US,0,1,0,0,1
show me the records of sachin tendulkar,en-US,1,1,1,0,0
what is the least tornado prone state in the entire us,en-US,0,1,1,0,0
what is the deepest point on earth,en-US,0,1,1,0,0
tell me which stocks were the biggest gainers in stock market nasdaq today,en-US,1,1,1,0,1
how old is rue mcclanahan,en-US,0,0,0,0,0
how high is pikes peak,en-US,0,1,0,0,0
what brand hair spray does donald trump use,en-US,1,1,1,0,0
what is the current stock rate of facebook,en-US,0,1,1,0,1
what is population per mile in asia,en-US,0,1,1,0,0
what is the linear equation,en-US,0,1,0,0,0
what is the worlds record for the longest head of hair,en-US,0,1,1,0,0
what was elvis presley's birthday,en-US,0,1,0,0,1
what's the exchange rates,en-US,0,1,1,0,0
what about ashwin,en-US,0,0,0,0,0
what percentage of the us population is related to the english royal bloodline in some way,en-US,1,1,1,0,0
how much is a stock of apple worth,en-US,0,1,1,0,0
does miley cyrus have any siblings,en-US,1,1,1,1,0
is steph curry married,en-US,0,1,0,1,0
when was born abraham lincoln,en-US,0,1,0,0,1
what does one u. s. d. equal in aus,en-US,0,1,1,0,0
how many calories is in an apple,en-US,0,1,1,0,0
let me know about the exchange rate of rupee to dirham,en-US,1,1,1,0,0
what is the exchange rate between the dollar and the euro currently,en-US,0,1,1,0,1
when did elvis die,en-US,0,1,0,0,1
answer the equation eight times seven,en-US,0,1,1,0,0
get me new definition,en-US,1,1,0,0,0
alexa i would like my to tell me the trend on foreign exchange rates,en-US,0,1,1,0,0
what type of pant is a culotte,en-US,0,0,0,0,0
find map,en-US,1,1,0,0,0
how is shell south stock doing today,en-US,0,1,1,0,1
how many states have the death penalty,en-US,0,1,1,0,0
ten percentages of hundred,en-US,0,1,1,0,0
what is justin bieber's birthday,en-US,0,1,0,0,1
how many pesos can i get for a dollar right now,en-US,0,1,1,0,1
how many oscars has won meryl streep,en-US,1,1,1,0,0
keep me updated on stock market prices,en-US,1,1,1,0,0
have stocks gone up or down today for walmart,en-US,0,1,0,0,1
what is the stock value of google,en-US,0,1,1,0,0
how old is hugh jackman,en-US,0,0,0,0,0
how many times has adel gone diamond,en-US,0,1,1,0,0
please show me the exchange rate between the dollar and the yen,en-US,1,1,1,0,0
what is meryl streep famous for,en-US,0,1,1,0,0
how old is chuck norris,en-US,0,0,0,0,0
what is the current stock price for hasbro,en-US,0,1,1,0,1
how old is morgan freeman,en-US,0,0,0,0,0
how hilly is it in sacramento,en-US,0,0,0,0,0
how did michael jackson die,en-US,1,1,0,0,0
high stock price,en-US,0,1,1,0,0
when was jamie fox born,en-US,0,1,0,0,1
what is the netflix stock price,en-US,0,1,1,0,0
how tall is trevor noah,en-US,0,1,1,0,0
tell me summary forecast microsoft stock forecast to thirty days ahead,en-US,0,1,0,0,1
who is celebrity,en-US,0,0,0,0,0
how old is kim kardashian,en-US,0,0,0,0,0
where are the rocky mountains,en-US,0,1,1,0,0
what is the distance between new york and berlin,en-US,0,1,1,0,0
how much is one dollar in pounds,en-US,0,1,1,0,0
how much is indian rupee going against u. s. dollar,en-US,0,1,1,0,0
how many teeth does ryan reynolds have,en-US,0,1,1,0,0
add five plus eighteen minus four please,en-US,0,1,1,0,0
what is the capital of washington,en-US,1,1,1,0,0
who won the last five n. c. a. a. men's basketball tournament,en-US,1,1,0,0,0
distance to local landmarks,en-US,0,1,0,0,0
what awards did erica grebe win last night,en-US,1,1,1,0,1
what is the price of starbuck's stock,en-US,0,1,1,0,0
how old is david bowie,en-US,0,0,0,0,0
who played harry potter in the films,en-US,1,1,0,0,0
where does janet jackson live,en-US,1,0,0,0,0
exchanges rates any problems,en-US,0,1,0,1,0
what is the difference between roman and grigorean calendar,en-US,0,1,1,0,0
describe the current state of politics,en-US,1,1,0,0,1
just let me know the population of india,en-US,1,1,1,0,0
age of brad pitt,en-US,0,0,0,0,0
dollar rate at present,en-US,0,1,1,0,1
how much is one american dollars worth in england,en-US,0,1,1,0,0
how much is the dollar worth in canada,en-US,0,1,1,0,0
how many grams are there for a cup of butter,en-US,0,1,1,0,0
olly how much can chris helmsworth bench press,en-US,1,1,0,0,0
please give me detail of one yen equals dollar,en-US,1,1,1,0,0
where is yellowstone,en-US,0,1,1,0,0
is willie nelson still alive,en-US,1,0,0,1,0
what is the capital of maryland,en-US,1,1,1,0,0
explain the geographical location of india,en-US,1,1,0,0,0
how much is one hundred and thirty six plus three hundred and eighty seven,en-US,0,1,1,0,0
explain the book of daniel to me,en-US,1,1,1,0,0
where is nayagara falls located,en-US,0,1,1,0,0
how much is an euro worth,en-US,0,1,1,0,0
may i have a list of five star hotels in paris,en-US,1,1,0,0,0
tell me the largest ocean in the world,en-US,1,1,1,0,0
how old is jennifer garner,en-US,0,0,0,0,0
how old is madonna,en-US,0,0,0,0,0
alexa i've got dollars for the month how much can i spend every day this month,en-US,1,1,1,0,0
give me the average five year stock price of home depot,en-US,0,1,1,0,0
who has won the most number of oscars ever,en-US,1,1,0,0,1
show stock of goog,en-US,1,1,0,0,0
what is the answer to two plus two,en-US,0,1,1,0,0
give me the opening stock price of acer computers,en-US,0,1,1,0,1
stock prices at walmart,en-US,0,1,1,0,0
what is the make up of the chair,en-US,1,1,0,0,0
find the meaning,en-US,1,1,1,0,0
what movies is kevin spacey in,en-US,0,1,1,0,0
where is the south pole,en-US,0,1,1,0,0
consequences to actions,en-US,0,1,1,0,0
where is the grand canyon,en-US,0,1,1,0,0
i want to figure out the stock on microsoft,en-US,1,1,0,0,0
stock company name,en-US,0,1,1,0,0
what's two plus two,en-US,0,1,1,0,0
what is the stock price of nike today,en-US,0,1,1,0,1
how is i. b. m. doing,en-US,1,0,0,0,0
what is four plus five,en-US,0,1,1,0,0
how have megatel shares done last week,en-US,1,0,0,0,1
what is the current exchange rate with the g. b. p.,en-US,0,1,1,0,1
what is the population of russia,en-US,0,1,1,0,0
is one divisible by three,en-US,0,1,1,1,0
what character does chris evans play,en-US,1,1,0,0,0
currency exchange rates,en-US,0,1,1,0,0
who was the twenty fifth president of the united states of america,en-US,1,1,1,0,0
who is the better half of obama,en-US,0,1,1,0,0
how much does one share of stock in lego cost,en-US,0,1,1,0,0
are the falklands in south america,en-US,0,1,1,1,0
describe,en-US,1,0,0,0,0
how much is the canadian dollar worth versus u. s. dollar,en-US,0,1,1,0,0
what is s. d. in francs,en-US,0,1,1,0,0
show conversion rate of u. s. d. and inr,en-US,1,1,1,0,0
open internet,en-US,1,1,0,0,0
is barrow alaska above freezing during the year,en-US,0,1,1,1,1
how many three are available in twenty seven,en-US,0,1,1,0,0
suffering consequences,en-US,0,1,0,0,0
give me the exchange rate between united states dollar and japanese yen,en-US,1,1,1,0,0
what is the difference between yesterday's and today's stock prices for walmart,en-US,0,1,1,0,1
what's the ratio of value of the indian rupee and a u. s. dollar,en-US,0,1,1,0,0
what was george eliot's first november el,en-US,0,0,0,0,0
what is the cost of iphone seven,en-US,0,1,1,0,0
largest animal,en-US,0,1,1,0,0
how old is dolly parton,en-US,0,0,0,0,0
what's the sum of the two numbers four and six,en-US,0,1,1,0,0
where is the hottest place on earth,en-US,0,1,1,0,0
please tell me how many days in a leap year,en-US,1,1,1,0,0
can you list off the top ten singles this week,en-US,1,1,0,0,1
how much indian rupees per u. s. d. today,en-US,0,1,1,0,1
what is denzel washington's next movie,en-US,0,1,0,0,0
give the stock price details of motorolla,en-US,0,1,1,0,0
given me the exchange rates between u. s. d. and cad,en-US,0,1,1,0,0
who was the current prime minister of britain,en-US,1,1,1,0,1
how long is the nile,en-US,0,1,1,0,0
tell me the profession of celebrity,en-US,1,1,1,0,0
how tall is brad pitt,en-US,0,1,1,0,0
where is the statue of liberty located,en-US,0,1,1,0,0
what age is britney spears,en-US,0,0,0,0,0
divide two hundred by four,en-US,0,1,1,0,0
just let me know the area of the asian continent,en-US,1,1,1,0,0
solution,en-US,0,0,0,0,0
is emma stone single,en-US,0,1,0,1,0
tell me the story of ramanujan and his mathematical journey,en-US,1,1,1,0,0
definition xy,en-US,0,1,1,0,0
give me the stock price of sony,en-US,0,1,1,0,0
wikipedia page about sean connery,en-US,0,0,0,0,0
i would like if will be smart and intelligent in way it will be familiar with me and recognize the way i like the result will be,en-US,1,1,1,0,0
how many rivers are there in europe,en-US,0,1,1,0,0
how is the stock for compaq doing,en-US,1,0,0,0,0
what shape is a ball,en-US,0,1,1,0,0
list the latest apple stock prices,en-US,1,1,1,0,0
what's the dollar's exchange rate with the euro,en-US,0,1,1,0,0
what's euro u. s. d. right now,en-US,0,1,1,0,1
is the dollar stronger than the pound,en-US,0,1,1,1,0
tell me about sean connery,en-US,1,1,1,0,0
could you please confirm if leonardo is married,en-US,1,1,0,1,0
what are the oil prices like today for a barrel of crude oil,en-US,0,1,1,0,1
who is jennifer aniston married to,en-US,0,1,1,0,0
give me the opening stock price of intel today,en-US,1,1,1,0,1
what is the square root of forty two,en-US,0,1,1,0,0
what does celebrity do,en-US,1,1,0,0,0
how many continents are there,en-US,0,1,1,0,0
tell me which mutual funds have maximum yearly returns,en-US,1,1,1,0,0
define ten,en-US,1,0,0,0,0
u. s. d. to g. b. p.,en-US,0,1,1,0,0
how much does an orange weigh,en-US,0,1,0,0,0
show bio of rihana,en-US,1,1,0,0,0
how many yen for each dollar,en-US,0,1,1,0,0
what is the biggest city in new hampshire,en-US,0,1,1,0,0
what is the population of new york,en-US,0,1,1,0,0
what is geographic value of great volcano,en-US,0,1,1,0,0
what is the current exchange rate for yen to euros,en-US,0,1,1,0,1
compare more of countries,en-US,1,1,0,0,0
who are the greatest hip hop artists,en-US,0,1,1,0,0
tell me everything you know about sloths,en-US,1,1,1,0,0
dolly parton biography,en-US,0,0,0,0,0
if i have fifty dollars and spend twenty four how many dollars will i have left,en-US,1,1,1,0,0
how much is the dollar verus the pound,en-US,0,1,1,0,0
what is this,en-US,0,0,0,0,0
what is two hundred divided by thirteen,en-US,0,1,1,0,0
define xy,en-US,1,1,0,0,0
who is the person behind the song of taylor swift back to december,en-US,0,1,1,0,0
tell me lexmark's current stock price,en-US,0,1,1,0,1
what you know about john abraham lincon,en-US,1,1,0,0,0
when did prince die,en-US,0,1,0,0,1
to compare in people,en-US,0,1,0,0,0
alexa tell me the largest ocean in the world,en-US,1,1,1,0,0
olly where did the first americans settle,en-US,1,0,0,0,0
what is the lowest microsoft stock price today,en-US,0,1,1,0,1
what does the word labyrinth mean,en-US,0,1,1,0,0
what is six minus four,en-US,0,1,1,0,0
what is the capitol of west virginia,en-US,1,1,1,0,0
please find out the share price of infy in nasdaq,en-US,1,1,1,0,0
list the current price of microsoft shares,en-US,1,1,1,0,1
is michael jackson really dead,en-US,0,1,0,1,0
when was frank sinatra born,en-US,0,1,0,0,1
check info on someone,en-US,1,1,0,0,0
how old is brad pitt,en-US,0,0,0,0,0
how big is japan,en-US,0,1,1,0,0
give me the stock price of intel,en-US,1,1,1,0,0
how far is florida from north carolina,en-US,0,1,1,0,0
how much does one euro cost in rupees,en-US,0,1,1,0,0
please give me information on michael jackson,en-US,0,0,0,0,0
what is the going rate for wells fargo stock,en-US,0,1,1,0,0
google definition for me,en-US,1,1,1,0,0
how many sides are on a pentagon,en-US,0,1,1,0,0
where did amal clooney go to college,en-US,1,1,0,0,0
where is botswana,en-US,0,1,1,0,0
tell me what the product of eighteen and thirty one is,en-US,0,1,1,0,0
ten plus y.,en-US,0,1,1,0,0
which is the smallest island in the world,en-US,0,1,1,0,0
who is the first president in u. s. a.,en-US,1,1,1,0,0
who is the current prime minister of russia,en-US,1,1,1,0,1
give me today's market trends for panasonic,en-US,0,1,1,0,1
who is currently the oldest living person in the world,en-US,1,1,1,0,1
is leonardo married,en-US,0,1,0,1,0
what is the name of the tallest man,en-US,0,1,1,0,0
how much is the us dollar versus the pound,en-US,0,1,1,0,0
what was martin luther kings birthday,en-US,0,1,0,0,1
tell me about mount rushmore,en-US,1,1,1,0,0
which was the first satellite to be launched by nasa,en-US,1,1,0,0,0
what is the stock price of amazon,en-US,0,1,1,0,0
what is the location of kentucky,en-US,0,1,1,0,0
where is trump from,en-US,0,1,1,0,0
where is the nearest river,en-US,0,1,1,0,0
how many oceans are there in the world,en-US,0,1,1,0,0
when was bryan adams born,en-US,0,1,0,0,1
how tall are giraffes,en-US,0,1,1,0,0
could you give me the exact rate for dow nifty futures,en-US,0,1,1,0,0
give me the exchange rate between united states dollar and canadian dollar,en-US,0,1,1,0,0
how old is miley cyrus,en-US,0,0,0,0,0
how old is tom hanks,en-US,0,0,0,0,0
why did gotse shoot mahatma gandhi,en-US,1,1,1,0,0
how many keys are on a piano,en-US,0,1,1,0,0
what is dolly parton's birthday,en-US,0,1,0,0,1
how tall is mount everest,en-US,0,1,1,0,0
figure out what percentage thirty is of one hundred and sixty three,en-US,0,1,1,0,0
when is saint patrick's day,en-US,0,1,0,0,1
what is four plus four,en-US,0,1,1,0,0
who is the most popular american actress,en-US,1,1,1,0,0
how tall is madonna,en-US,0,1,1,0,0
tell me billy crytals address,en-US,0,1,1,0,0
currency exchange,en-US,0,1,0,0,0
how many miles is it from los angeles california to austin texas,en-US,0,1,1,0,0
could you describe that object please,en-US,1,1,0,0,0
is adele going to go on tour,en-US,1,0,0,1,0
how many tablespoons are there in a cup,en-US,0,1,1,0,0
what is the lowest population per square mile in africa,en-US,0,1,1,0,0
find brad pitt's age,en-US,1,1,1,0,0
tallest building,en-US,0,1,1,0,0
what is the temperature right now in new york,en-US,0,0,0,0,1
what's ten percent off forty dollars,en-US,0,1,1,0,0
can you get me the route to chicago before midnight,en-US,1,1,1,0,1
why are whales big,en-US,1,1,0,0,0
how big is the empire state building,en-US,0,1,1,0,0
at what age michael phelps got married,en-US,0,1,1,0,1
what is two times two,en-US,0,1,1,0,0
tell me where steve jobs was born,en-US,1,1,1,0,0
is the celebrity single or married,en-US,0,1,0,0,0
four plus five equals nine,en-US,0,1,0,0,0
what is the population of florida,en-US,0,1,1,0,0
tell me keywords about usain bolt,en-US,1,1,1,0,0
how did paris hilton become famous,en-US,0,1,1,0,0
what is the factorial of ten,en-US,0,1,1,0,0
list albums of rihana,en-US,1,1,0,0,0
info on lisa ann please,en-US,0,0,0,0,0
how much is remaining after subtracting four from eight,en-US,0,1,1,0,1
how is coca-cola stock doing today,en-US,1,0,0,0,1
how old are kim kardashian's children,en-US,1,1,1,0,0
what's the current price of mcdonalds stock,en-US,0,1,1,0,1
what is the radius of the biggest crater on earth,en-US,0,1,1,0,0
give me a geographic fact about vilnius,en-US,0,0,0,0,0
how many species of bees are there in the united states,en-US,0,1,1,0,0
go to the nsdl and search for prices,en-US,1,1,1,0,0
try out in wikipedia,en-US,1,0,0,0,0
who is taylor swift,en-US,0,0,0,0,0
what are the climatic conditions in that area,en-US,0,0,0,0,0
i need to know about the height of mount everest,en-US,1,1,0,0,0
how do i subtract four from two,en-US,0,1,1,0,0
please give me information next movie of aamir khan,en-US,1,1,1,0,0
how much is the euro worth versus u. s. dollar,en-US,0,1,1,0,0
how many calories in an orange,en-US,0,1,1,0,0
amazon stock price,en-US,0,1,1,0,0
u. s. d. position now,en-US,0,1,1,0,1
how long till the eventual heat death of the universe,en-US,0,1,1,0,0
when was angelina jolie born,en-US,0,1,0,0,1
tell me when trump was born,en-US,1,1,1,0,1
rate between these currencies,en-US,0,1,1,0,0
what is the birth year of barack obama,en-US,0,1,0,0,1
what are the current stocks for yahoo,en-US,0,1,1,0,1
could you calculate five plus five,en-US,0,1,1,0,0
google the object and see,en-US,1,1,0,0,0
olly what is the total number of oceans in the world,en-US,0,1,1,0,0
open calculator,en-US,1,1,0,0,0
how old is ryan reynolds,en-US,0,0,0,0,0
where is yellowstone park,en-US,0,1,1,0,0
stock please,en-US,0,0,0,0,0
what is the us dollar euro exchange rate,en-US,0,1,1,0,0
what apple trading at,en-US,0,1,0,0,0
convert ten inches to centimeters,en-US,0,1,1,0,0
provide valid references with information to help people understand critical thinking and giving credit where credit is due rather than perpetuate fake news and alternative facts,en-US,1,1,1,0,0
stock up or down for walgreens,en-US,0,1,0,0,0
which desert is hottest,en-US,0,1,1,0,0
how much yens per u. s. d. today,en-US,0,1,1,0,1
can you give me the exchange rate for dollar in rupees,en-US,0,1,1,0,0
what is the mean sea level of that place,en-US,0,1,0,0,0
multiply one thousand by twelve,en-US,0,1,1,0,0
how much euros per u. s. d. today,en-US,0,1,1,0,1
which currency is greater the us dollar or yen,en-US,0,1,1,0,0
please indicate the opening price of fra stock,en-US,1,1,1,0,1
google the word,en-US,1,1,0,0,0
does donald trump have any ties to russia,en-US,0,1,1,1,0
how many children does sandra bullock have,en-US,1,1,1,0,0
what year was elvis born,en-US,0,1,0,0,1
check recent news on someone,en-US,1,1,0,0,1
when is sunset,en-US,0,1,1,0,1
how old is george clooney,en-US,0,0,0,0,0
is euro the best currency to trade,en-US,0,1,1,1,0
tell me the exchange rate of rupee for dollar,en-US,1,1,1,0,0
if i have five u. s. dollars how much is that in australian dollars,en-US,1,1,1,0,0
could you please tell what is the capital of america,en-US,1,1,1,0,0
currency converter please,en-US,1,1,0,0,0
what is julia roberts natural hair color,en-US,0,1,1,0,0
what is the remainder when five hundred and twenty one is divided by three,en-US,0,1,0,0,0
how deep is the deepest point of the grand canyon,en-US,0,1,1,0,0
is tom cruise an only child,en-US,1,0,1,1,0
what is the exchange rate for philippine pesos,en-US,0,1,1,0,0
can you give me a run-down on john legend,en-US,1,1,1,0,0
where was marlon brando born,en-US,0,1,0,0,0
solve this equation one plus one,en-US,0,1,1,0,0
tell me how old is ryan seacrest,en-US,1,1,1,0,0
show bio of rihana,en-US,1,1,0,0,0
what's the closing price of a. b. c.,en-US,0,1,1,0,1
tell me formula for area of circle,en-US,1,1,1,0,0
where is the convention center located,en-US,0,1,1,0,0
in which field does that person excel in,en-US,1,1,0,0,0
euro to u. s. d.,en-US,0,1,1,0,0
what is twelve divided by four,en-US,0,1,1,0,0
less stock price,en-US,0,1,0,0,0
please tell me when i can become rich if i invested in dow stocks today and what will be the return after five years,en-US,1,1,1,0,1
how long do elephants live,en-US,1,0,0,0,0
what country has the most population,en-US,0,1,1,0,0
what is the highest building in the world,en-US,0,1,1,0,0
how old is angelina jolie,en-US,0,0,0,0,0
who is highest scoring football player of all time,en-US,1,1,0,0,0
the capital of nigeria is what,en-US,1,1,1,0,0
what bra size is julianne hough,en-US,0,1,1,0,0
show me share price of facebook,en-US,1,1,1,0,0
tell me something about,en-US,1,1,1,0,0
what is the most densely populated country in the world,en-US,0,1,1,0,0
when was albert einstein born,en-US,0,1,0,0,1
what is the definition of this word,en-US,0,1,1,0,0
what is the highest mountain in the us,en-US,0,1,1,0,0
what is the temperature in indianapolis indiana,en-US,0,0,0,0,0
what is the exchange rate between the dollar and the yen,en-US,0,1,1,0,0
